neighbourhood_group_n,neighbourhood_n,room_type_n,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,7,1,30,0,18,146
0,6,1,2,5,1,0
0,117,1,2,2,1,0
2,87,0,2,12,2,19
1,28,0,1,2,2,0
1,8,1,3,0,1,0
0,22,0,2,1,1,0
0,21,1,30,0,1,0
0,12,0,1,0,1,0
1,28,1,31,4,33,299
1,2,1,2,5,1,0
2,44,0,1,14,1,272
1,19,0,7,1,1,0
2,183,0,1,89,3,356
1,4,0,2,2,1,0
0,22,1,3,9,1,0
0,22,1,2,13,1,160
0,12,1,10,3,1,0
2,56,0,1,27,9,363
0,21,0,2,5,3,4
1,2,1,2,4,1,0
0,32,1,2,13,1,0
1,7,0,1,54,1,341
1,71,1,1,2,1,301
4,188,1,7,0,1,254
1,28,0,1,62,2,258
1,4,1,2,0,1,3
0,33,1,3,4,1,5
0,15,0,1,2,1,0
2,31,0,2,21,5,125
1,28,1,3,57,1,93
1,8,0,1,5,1,0
0,12,0,3,0,1,0
1,19,1,3,0,1,0
0,13,0,2,1,1,0
2,44,0,14,11,1,332
1,8,1,3,5,1,320
1,77,1,2,1,1,363
1,27,1,1,94,1,187
0,20,1,30,4,4,301
1,101,0,1,1,7,339
0,123,0,2,41,1,3
0,12,1,2,88,1,223
1,26,0,2,41,1,242
0,33,1,1,78,5,365
0,20,0,5,0,1,0
0,24,1,3,0,2,0
0,12,0,2,1,1,0
0,20,0,14,0,1,0
1,28,1,2,5,1,0
1,2,0,1,12,1,0
0,12,0,2,5,2,365
1,1,1,30,1,121,351
2,49,0,2,0,1,35
2,49,0,1,5,2,0
1,30,0,3,89,1,66
1,14,1,4,6,1,0
0,12,1,1,0,4,177
0,20,0,3,29,1,15
2,39,1,2,31,1,169
0,12,1,3,2,1,0
1,30,0,13,2,1,0
0,36,1,3,13,1,0
0,12,0,1,1,3,0
2,39,1,21,0,1,0
4,65,0,1,6,1,0
0,12,1,3,4,1,0
1,7,1,2,53,1,0
0,6,1,3,44,1,64
0,12,1,3,31,1,0
1,43,1,2,3,1,158
0,24,0,4,6,1,6
0,22,1,3,12,1,0
1,64,0,1,1,8,0
0,6,1,3,6,1,1
1,2,1,2,6,1,0
1,19,1,10,5,1,0
1,52,1,3,1,1,7
1,27,1,2,0,1,2
2,46,0,1,0,2,179
0,24,1,2,2,1,0
1,1,1,3,1,1,5
1,2,0,2,3,1,0
1,19,0,90,0,1,173
0,6,0,2,14,1,0
0,20,1,3,15,1,0
2,49,0,1,5,2,31
0,67,2,7,1,6,313
0,3,1,2,114,1,314
1,26,0,1,19,3,37
0,12,0,1,5,1,0
0,70,0,1,35,2,365
1,53,1,2,119,1,0
1,7,1,2,4,1,29
0,6,0,1,113,3,288
0,15,0,1,4,1,0
1,19,0,4,2,2,0
1,27,1,3,10,1,0
1,50,1,3,5,1,362
1,43,1,2,52,1,72
1,14,0,1,63,4,29
1,28,1,3,8,1,0
0,22,1,30,4,1,47
2,155,0,1,0,2,0
0,12,0,2,7,4,3
0,54,0,1,71,2,35
1,7,1,3,15,1,4
1,19,0,7,25,1,359
0,21,1,3,10,1,0
1,19,0,1,0,1,0
2,56,1,3,50,2,352
1,14,1,1,6,1,2
0,12,0,1,1,1,0
1,4,1,1,5,1,338
2,49,1,7,15,1,0
1,28,0,1,1,1,0
1,19,1,5,0,1,0
1,7,0,7,9,47,337
2,159,1,2,22,1,47
1,1,1,1,0,8,0
0,6,1,2,37,1,0
1,19,1,2,6,1,39
1,19,0,2,4,2,0
0,12,0,2,61,3,42
0,6,0,7,0,1,0
1,19,1,3,3,1,0
0,6,0,2,28,1,0
2,25,1,6,0,1,0
1,19,1,1,0,1,0
1,7,0,2,3,2,0
0,79,0,1,67,1,8
1,30,0,1,1,1,0
0,12,0,2,14,1,0
0,6,1,3,3,2,0
1,19,1,30,52,1,314
1,68,1,2,29,1,65
1,19,1,1,114,1,157
0,79,0,7,2,1,0
1,7,1,30,3,31,339
0,117,1,35,0,1,0
0,12,1,6,7,1,4
0,73,2,30,0,3,84
0,6,1,2,3,1,268
1,8,0,2,81,1,6
0,16,1,3,0,1,0
