host_id,longitude,calculated_host_listings_count,room_type_n,neighbourhood_group_encoded,neighbourhood_encoded,room_type_encoded,price
50600973.0,-73.92983,7.0,2.0,0.0,14.0,2.0,29
204852306.0,-73.93142,14.0,2.0,0.0,19.0,2.0,35
124860677.0,-73.81327,6.0,0.0,1.0,45.0,0.0,43
9522524.0,-73.89222,5.0,0.0,0.0,27.0,0.0,38
35927005.0,-74.00597,10.0,0.0,0.0,31.0,0.0,55
52140932.0,-73.95155,7.0,0.0,0.0,19.0,0.0,65
238119405.0,-73.9074,5.0,0.0,0.0,14.0,0.0,51
94214493.0,-73.91788,9.0,0.0,0.0,28.0,0.0,65
213208277.0,-73.99175,8.0,2.0,0.0,31.0,2.0,30
247013511.0,-73.87675,6.0,0.0,1.0,90.0,0.0,40
310670.0,-73.83471,13.0,1.0,4.0,9.0,1.0,155
259796664.0,-73.9349,10.0,0.0,1.0,52.0,0.0,79
239660813.0,-73.99522,10.0,0.0,2.0,36.0,0.0,166
18397763.0,-73.93131,7.0,0.0,0.0,19.0,0.0,77
175019394.0,-73.77859,6.0,0.0,1.0,53.0,0.0,80
133130315.0,-73.98562,6.0,0.0,2.0,36.0,0.0,136
175019394.0,-73.77869,6.0,0.0,1.0,53.0,0.0,60
160495098.0,-73.94753,5.0,0.0,0.0,28.0,0.0,39
45601111.0,-73.74833,5.0,0.0,1.0,57.0,0.0,34
110965771.0,-73.8238,7.0,0.0,1.0,45.0,0.0,100
252604696.0,-73.99523,20.0,0.0,2.0,35.0,0.0,199
35927005.0,-74.00589,10.0,0.0,0.0,31.0,0.0,60
26556695.0,-73.97483,6.0,1.0,2.0,21.0,1.0,1999
6885157.0,-73.95149,15.0,0.0,0.0,19.0,0.0,60
204539.0,-73.89934,5.0,1.0,1.0,4.0,1.0,140
3256433.0,-73.96914,7.0,1.0,2.0,46.0,1.0,200
219517861.0,-74.0123,327.0,1.0,2.0,69.0,1.0,244
193502084.0,-74.00391,8.0,0.0,0.0,31.0,0.0,40
41326856.0,-73.88148,5.0,0.0,1.0,34.0,0.0,49
263880607.0,-73.98912,7.0,0.0,2.0,36.0,0.0,120
21410914.0,-73.95928,6.0,0.0,2.0,71.0,0.0,100
187822288.0,-73.87287,5.0,0.0,1.0,40.0,0.0,55
221213143.0,-73.98195,9.0,1.0,2.0,113.0,1.0,650
9898029.0,-73.92574,5.0,1.0,0.0,28.0,1.0,249
92493393.0,-74.11494,5.0,0.0,3.0,73.0,0.0,55
244559229.0,-73.99273,9.0,0.0,2.0,35.0,0.0,100
37579015.0,-73.99223,5.0,0.0,2.0,36.0,0.0,250
39528519.0,-73.98679,28.0,0.0,2.0,39.0,0.0,73
156505456.0,-73.88868,13.0,0.0,0.0,24.0,0.0,37
55468128.0,-73.95541,7.0,0.0,0.0,19.0,0.0,70
45835291.0,-73.95441,6.0,0.0,2.0,6.0,0.0,47
417504.0,-73.95312,28.0,0.0,0.0,10.0,0.0,249
175180318.0,-73.9874,6.0,2.0,2.0,36.0,2.0,75
20120009.0,-73.90621,6.0,0.0,0.0,14.0,0.0,38
219517861.0,-74.01226,327.0,1.0,2.0,69.0,1.0,235
8715723.0,-73.95505,5.0,0.0,2.0,6.0,0.0,118
263880607.0,-73.98775,7.0,2.0,2.0,36.0,2.0,75
187487947.0,-73.95664,6.0,1.0,0.0,10.0,1.0,70
192951036.0,-74.00301,10.0,0.0,2.0,93.0,0.0,129
215778245.0,-73.86687,6.0,0.0,1.0,68.0,0.0,40
219517861.0,-74.01238,327.0,1.0,2.0,69.0,1.0,425
51038.0,-73.96161,6.0,1.0,0.0,2.0,1.0,248
26556695.0,-73.97391,6.0,1.0,2.0,21.0,1.0,820
30237517.0,-73.85058,6.0,0.0,1.0,25.0,0.0,75
219333557.0,-73.86855,7.0,1.0,1.0,40.0,1.0,95
205031545.0,-73.96536,49.0,1.0,2.0,21.0,1.0,956
205745676.0,-73.82104,9.0,0.0,1.0,45.0,0.0,89
158540605.0,-73.8892,6.0,0.0,1.0,91.0,0.0,25
18212433.0,-73.97297,8.0,1.0,2.0,21.0,1.0,299
21228368.0,-73.84915,5.0,0.0,1.0,25.0,0.0,70
219517861.0,-73.97563,327.0,1.0,2.0,107.0,1.0,257
213781715.0,-73.95454,33.0,0.0,0.0,10.0,0.0,119
180991373.0,-73.82439,5.0,0.0,1.0,45.0,0.0,40
159610596.0,-74.0054,6.0,1.0,2.0,69.0,1.0,295
640117.0,-73.95708,5.0,1.0,0.0,11.0,1.0,320
1692538.0,-73.93094,5.0,0.0,2.0,18.0,0.0,196
229147376.0,-73.95735,11.0,0.0,0.0,19.0,0.0,45
10737943.0,-73.95015,10.0,0.0,2.0,13.0,0.0,125
34689714.0,-73.98632,5.0,0.0,2.0,36.0,0.0,99
105878573.0,-73.88686,5.0,0.0,0.0,24.0,0.0,50
251311623.0,-73.91411,5.0,0.0,0.0,19.0,0.0,58
268135013.0,-73.92705,6.0,0.0,0.0,14.0,0.0,49
257005399.0,-73.99511,5.0,0.0,2.0,36.0,0.0,430
303939.0,-74.08539,6.0,0.0,3.0,7.0,0.0,37
59156312.0,-73.86413,9.0,0.0,1.0,62.0,0.0,59
1177497.0,-73.96713,11.0,0.0,0.0,2.0,0.0,259
6885157.0,-73.95012,15.0,0.0,0.0,19.0,0.0,65
344035.0,-73.97118,13.0,0.0,0.0,49.0,0.0,60
2787.0,-73.97541,6.0,0.0,0.0,61.0,0.0,149
